cycle,state,candidate,party,pmean,upper90,lower10,win
2020,WY,Merav Ben-David,D,32.60999,38.51706,26.66287,0.0009
2020,WY,Cynthia Lummis,R,67.39001,73.33713,61.48294,0.9991
2020,WV,Paula Jean Swearengin,D,36.89119,42.92647,30.86305,0.0096
2020,WV,Shelley Moore Capito,R,60.17286,66.18008,54.14264,0.9904
2020,WV,Franklin Riley,I,2.935963,5.302156,1.004796,0.0
2020,VA,Mark Warner,D,57.57465,62.20264,52.95479,0.988175
2020,VA,Daniel Gade,R,40.61456,45.17934,35.99309,0.011825
2020,VA,all others,O,1.810788,3.465114,0.4938617,0.0
2020,TX,M.J. Hegar,D,45.570890000000006,50.22305,40.89242,0.169875
2020,TX,John Cornyn,R,52.24592,56.8806,47.57031,0.830125
2020,TX,all others,O,2.183193,4.128014,0.6517025,0.0
2020,TN,Marquita Bradshaw,D,37.21235,42.26031,32.1886,0.0046
2020,TN,Bill Hagerty,R,58.95694,64.00108,53.860130000000005,0.9954
2020,TN,all others,O,3.830711,6.705941,1.428497,0.0
2020,SD,Dan Ahlers,D,38.63258,44.38731,32.993829999999996,0.009325
2020,SD,Mike Rounds,R,61.367419999999996,67.00617,55.61269,0.990675
2020,SC,Jaime Harrison,D,46.740790000000004,51.47787,42.01575,0.24715
2020,SC,Lindsey Graham,R,51.61208,56.28827,46.890879999999996,0.752825
2020,SC,Bill Bledsoe,I,1.647123,3.180935,0.4378054,2.5e-05
2020,RI,Jack Reed,D,74.31644,80.73392,67.867,0.999775
2020,RI,Allen Waters,R,25.68356,32.133,19.26609,0.000225
2020,OR,Jeff Merkley,D,60.429919999999996,66.34980999999999,54.570319999999995,0.994675
2020,OR,Jo Rae Perkins,R,35.72657,41.556259999999995,29.74458,0.005325
2020,OR,all others,O,3.84352,6.752657000000001,1.45577,0.0
2020,OK,Abby Broyles,D,38.11316,43.75574,32.50665,0.00995
2020,OK,Jim Inhofe,R,59.061769999999996,64.63811,53.39901,0.99005
2020,OK,all others,O,2.825072,5.1790080000000005,0.9307281,0.0
2020,NM,Ben Ray Luján,D,53.538540000000005,58.95326,48.08482,0.88855
2020,NM,Mark Ronchetti,R,43.42528,48.875679999999996,37.997240000000005,0.11145
2020,NM,Bob Walsh,I,3.0361830000000003,5.481914,1.04912,0.0
2020,NJ,Cory Booker,D,61.742540000000005,66.81197,56.6361,0.998525
2020,NJ,Rikin Mehta,R,35.82654,40.94175,30.739829999999998,0.001475
2020,NJ,all others,O,2.430919,4.520493,0.7521455,0.0
2020,NH,Jeanne Shaheen,D,57.66219,63.1432,52.196690000000004,0.973975
2020,NH,Corky Messner,R,40.6636,46.12535,35.179629999999996,0.026025
2020,NH,Justin O'Donnell,I,1.6742150000000002,3.251156,0.4439911,0.0
2020,NE,Chris Janicek,D,30.909990000000004,37.2785,24.52874,0.001825
2020,NE,Ben Sasse,R,62.23211,68.55181999999999,55.85856999999999,0.998175
2020,NE,Gene Siadek,I,6.857899000000001,10.97782,3.264638,0.0
2020,NC,Cal Cunningham,D,50.80211,55.46516,46.17427,0.7057
2020,NC,Thom Tillis,R,47.03226,51.65997,42.312490000000004,0.2943
2020,NC,all others,O,2.165632,4.091341000000001,0.6436803000000001,0.0
2020,MT,Steve Bullock,D,48.56766,53.06531999999999,44.080490000000005,0.339725
2020,MT,Steve Daines,R,51.43234,55.919509999999995,46.93468,0.660275
2020,MS,Mike Espy,D,46.909909999999996,51.9114,41.86337,0.25865
2020,MS,Cindy Hyde-Smith,R,51.826809999999995,56.838330000000006,46.83112,0.74135
2020,MS,Jimmy Edwards,I,1.2632809999999999,2.51668,0.30283699999999997,0.0
2020,MN,Tina Smith,D,53.229119999999995,58.30124,48.16187,0.8871
2020,MN,Jason Lewis,R,44.03022,49.05462,38.93884,0.1129
2020,MN,all others,O,2.740662,5.008791,0.9056421999999998,0.0
2020,MI,Gary Peters,D,52.827580000000005,58.12936,47.549929999999996,0.846375
2020,MI,John James,R,44.77349,50.05835,39.42026,0.153625
2020,MI,all others,O,2.398936,4.44747,0.7539607,0.0
2020,ME,Sara Gideon,D,50.9632,56.80454,45.17687,0.58625
2020,ME,Susan Collins,R,49.0368,54.823130000000006,43.19546,0.41375
2020,ME,all others,O,0.0,0.0,0.0,0.0
2020,MA,Ed Markey,D,65.97012,71.24441999999999,60.611999999999995,0.999725
2020,MA,Kevin O'Connor,R,31.217509999999997,36.54139,25.916999999999998,0.000275
2020,MA,all others,O,2.812364,5.154116999999999,0.9327281999999999,0.0
2020,LA,Adrian Perkins,D,16.19959,22.0622,10.47402,0.04215
2020,LA,Antoine Pierce,D,8.647537,13.23311,4.4446330000000005,0.0029
