cycle,state,candidate,party,pmean,upper90,lower10,win
2020,WY,Merav Ben-David,D,35.93591,42.83035,28.992790000000003,0.008025
2020,WY,Cynthia Lummis,R,64.06409000000001,71.00721,57.16965,0.991975
2020,WV,Paula Jean Swearengin,D,37.9831,45.44161,30.533009999999997,0.0369
2020,WV,Shelley Moore Capito,R,59.080940000000005,66.52009,51.62308,0.9631
2020,WV,Franklin Riley,I,2.935963,5.302156,1.004796,0.0
2020,VA,Mark Warner,D,57.171969999999995,61.20046,53.15676,0.993375
2020,VA,Daniel Gade,R,41.01724,45.0249,36.97929,0.006625
2020,VA,all others,O,1.810788,3.465114,0.4938617,0.0
2020,TX,M.J. Hegar,D,45.629509999999996,49.94466,41.32736,0.158875
2020,TX,John Cornyn,R,52.1873,56.47631,47.86164,0.841125
2020,TX,all others,O,2.183193,4.128014,0.6517025,0.0
2020,TN,Marquita Bradshaw,D,37.559470000000005,43.87022,31.28642,0.01815
2020,TN,Bill Hagerty,R,58.60981999999999,64.94035,52.2735,0.98185
2020,TN,all others,O,3.830711,6.705941,1.428497,0.0
2020,SD,Dan Ahlers,D,40.839940000000006,48.17609,33.678509999999996,0.0576
2020,SD,Mike Rounds,R,59.160059999999994,66.32149,51.82391,0.9424
2020,SC,Jaime Harrison,D,46.95893,51.682520000000004,42.23322,0.268575
2020,SC,Lindsey Graham,R,51.39395,56.06163000000001,46.66559,0.7314
2020,SC,Bill Bledsoe,I,1.647123,3.180935,0.4378054,2.5e-05
2020,RI,Jack Reed,D,73.84926,83.06985,64.58549000000001,0.99775
2020,RI,Allen Waters,R,26.15075,35.41451,16.930139999999998,0.00225
2020,OR,Jeff Merkley,D,57.26061,63.774730000000005,50.816340000000004,0.965775
2020,OR,Jo Rae Perkins,R,38.89587,45.31427,32.3265,0.034225
2020,OR,all others,O,3.84352,6.752657000000001,1.45577,0.0
2020,OK,Abby Broyles,D,39.49276,45.41738,33.6585,0.023625
2020,OK,Jim Inhofe,R,57.68216999999999,63.50188000000001,51.769690000000004,0.976375
2020,OK,all others,O,2.825072,5.1790080000000005,0.9307281,0.0
2020,NM,Ben Ray Luján,D,52.50376,58.052580000000006,46.93022,0.827525
2020,NM,Mark Ronchetti,R,44.46005,50.04404,38.9099,0.172475
2020,NM,Bob Walsh,I,3.0361830000000003,5.481914,1.04912,0.0
2020,NJ,Cory Booker,D,61.32515,66.63654,55.99961,0.997325
2020,NJ,Rikin Mehta,R,36.24393,41.59598,30.923009999999998,0.002675
2020,NJ,all others,O,2.430919,4.520493,0.7521455,0.0
2020,NH,Jeanne Shaheen,D,56.86674,61.67403,52.04781,0.978725
2020,NH,Corky Messner,R,41.45904,46.256,36.63583,0.021275
2020,NH,Justin O'Donnell,I,1.6742150000000002,3.251156,0.4439911,0.0
2020,NE,Chris Janicek,D,32.87746,40.24142,25.45172,0.009175
2020,NE,Ben Sasse,R,60.26464,67.55036,52.884069999999994,0.990825
2020,NE,Gene Siadek,I,6.857899000000001,10.97782,3.264638,0.0
2020,NC,Cal Cunningham,D,50.88663,54.88885,46.887679999999996,0.744625
2020,NC,Thom Tillis,R,46.94773,50.95874,42.882529999999996,0.255375
2020,NC,all others,O,2.165632,4.091341000000001,0.6436803000000001,0.0
2020,MT,Steve Bullock,D,48.61533,53.60869,43.62895,0.360475
2020,MT,Steve Daines,R,51.38467,56.37105,46.39131,0.639525
2020,MS,Mike Espy,D,45.99001,51.58862,40.35286,0.21425
2020,MS,Cindy Hyde-Smith,R,52.746719999999996,58.34619,47.16148,0.78575
2020,MS,Jimmy Edwards,I,1.2632809999999999,2.51668,0.30283699999999997,0.0
2020,MN,Tina Smith,D,52.788419999999995,56.85631,48.69708,0.914175
2020,MN,Jason Lewis,R,44.47092,48.50893,40.37146,0.085825
2020,MN,all others,O,2.740662,5.008791,0.9056421999999998,0.0
2020,MI,Gary Peters,D,52.58353,56.36303,48.78434,0.9087
2020,MI,John James,R,45.017540000000004,48.79725,41.17627,0.0913
2020,MI,all others,O,2.398936,4.44747,0.7539607,0.0
2020,ME,Sara Gideon,D,52.01715,57.02741999999999,47.05534,0.697775
2020,ME,Susan Collins,R,47.98285,52.94466,42.97258,0.302225
2020,ME,all others,O,0.0,0.0,0.0,0.0
2020,MA,Ed Markey,D,65.54222,70.94734,60.0843,0.999675
2020,MA,Kevin O'Connor,R,31.64541,37.09066,26.227290000000004,0.000325
2020,MA,all others,O,2.812364,5.154116999999999,0.9327283000000002,0.0
2020,LA,Adrian Perkins,D,14.62836,20.943179999999998,8.445136,0.053675
2020,LA,Antoine Pierce,D,7.808794,12.45762,3.628358,0.00355
2020,LA,Peter Wenstrup,D,7.952967999999999,12.65462,3.666085,0.0049
2020,LA,Derrick “Champ” Edwards,D,7.466688,11.99854,3.3877940000000004,0.003175
2020,LA,Bill Cassidy,R,42.07751,51.617670000000004,33.15025,0.8972
2020,LA,Dustin Murphy,R,13.558679999999999,19.12182,8.185511,0.0375
2020,LA,all others,O,6.507007,10.55803,3.03517,0.0
2020,KY,Amy McGrath,D,43.77552,48.88525,38.64246,0.090625
2020,KY,Mitch McConnell,R,54.26928,59.41895,49.142720000000004,0.909375
2020,KY,Brad Barron,I,1.9552009999999997,3.720163,0.5645427,0.0
2020,KS,Barbara Bollier,D,46.428979999999996,51.07843,41.70621,0.25695
2020,KS,Roger Marshall,R,50.987390000000005,55.67100000000001,46.315709999999996,0.74305
2020,KS,Jason Buckley,I,2.583632,4.782153,0.8397901,0.0
2020,IL,Richard J. Durbin,D,59.2195,64.29021,54.10811999999999,0.997875
2020,IL,Mark C. Curran Jr.,R,35.72585,40.77025,30.62473,0.002125
2020,IL,all others,O,5.054655,8.464960000000001,2.145842,0.0
2020,ID,Paulette Jordan,D,34.82994,42.13058,27.52726,0.018225
2020,ID,Jim Risch,R,58.70847,66.00312,51.37539,0.981775
2020,ID,all others,O,6.461582,10.44265,2.991742,0.0
2020,IA,Theresa Greenfield,D,48.83964,53.438590000000005,44.28556,0.500175
2020,IA,Joni Ernst,R,48.876090000000005,53.394169999999995,44.3003,0.499825
2020,IA,all others,O,2.284267,4.2890809999999995,0.6954365,0.0
2020,GAS,Raphael Warnock,D,32.85542,39.94257,26.063579999999998,0.78205
2020,GAS,Matt Lieberman,D,5.365998,8.812096,2.33003,0.0004
2020,GAS,Ed Tarver,D,1.671861,3.253779,0.44400379999999995,2.5e-05
2020,GAS,Kelly Loeffler,R,21.881420000000002,27.825020000000002,15.967239999999999,0.135775
2020,GAS,Doug Collins,R,19.84265,25.67236,14.05613,0.08175
2020,GAS,all others,O,18.38265,24.4591,12.60575,0.0
2020,GA,Jon Ossoff,D,49.46699,53.66811,45.26395,0.49205
2020,GA,David Perdue,R,48.87684,53.064840000000004,44.67133,0.50795
2020,GA,Shane Hazel,I,1.6561720000000002,3.2359720000000003,0.44367700000000004,0.0
2020,DE,Christopher A. Coons,D,62.16842,68.48756,55.832640000000005,0.9944
2020,DE,Lauren Witzke,R,34.88597,41.197109999999995,28.51855,0.0056
2020,DE,all others,O,2.945617,5.349012999999999,1.003808,0.0
2020,CO,John W. Hickenlooper,D,52.39761,57.75365,47.01421,0.874225
2020,CO,Cory Gardner,R,43.24994,48.59766,37.86728,0.125775
2020,CO,all others,O,4.352459,7.46126,1.729572,0.0
2020,AZ,Mark Kelly,D,52.989380000000004,56.81389,49.17366,0.843525
2020,AZ,Martha McSally,R,47.01062,50.82634,43.18611,0.156475
2020,AR,Tom Cotton,R,69.27835999999999,74.88965999999999,63.72728000000001,0.999775
2020,AR,Ricky Dale Harrington Jr.,I,30.72164,36.27272,25.11034,0.000225
2020,AL,Doug Jones,D,44.28666,48.37636,40.24392,0.03775
2020,AL,Tommy Tuberville,R,55.71334,59.756080000000004,51.62364,0.96225
2020,AK,Al Gross,D,45.20641,51.01583,39.40092,0.299825
2020,AK,Dan Sullivan,R,49.765190000000004,55.617340000000006,43.8816,0.700175
2020,AK,all others,O,5.0284059999999995,8.469041,2.132607,0.0
