year,state,incumbency
1992,Alabama,Shelby
1992,Alaska,Murkowski
1992,Arizona,McCain
1992,Arkansas,Bumpers
1992,California,Boxer
1992,CaliforniaS,Feinstein
1992,Colorado,Campbell
1992,Connecticut,Dodd
1992,Florida,Graham
1992,Georgia,Coverdell
1992,Hawaii,Inouye
1992,Idaho,Kempthorne
1992,Illinois,MoseleyBraun
1992,Indiana,Coats
1992,Iowa,Grassley
1992,Kansas,Dole
1992,Kentucky,Ford
1992,Maryland,Mikulski
1992,Missouri,Bond
1992,Nevada,Reid
1992,New Hampshire,Gregg
1992,New York,DAmato
1992,North Carolina,Faircloth
1992,North Dakota,Dorgan
1992,North DakotaS,Conrad
1992,Ohio,Glenn
1992,Oklahoma,Nickles
1992,Oregon,Packwood
1992,Pennsylvania,Specter
1992,South Carolina,Hollings
1992,South Dakota,Daschle
1992,Utah,Bennett
1992,Vermont,Leahy
1992,Washington,Murray
1992,Wisconsin,Feingold
1994,Arizona,Kyl
1994,California,Feinstein
1994,Connecticut,Lieberman
1994,Delaware,Roth
1994,Florida,Mack
1994,Hawaii,Akaka
1994,Indiana,Lugar
1994,Maine,Snowe
1994,Maryland,Sarbanes
1994,Massachusetts,Kennedy
1994,Michigan,Abraham
1994,Minnesota,Grams
1994,Mississippi,Lott
1994,Missouri,Ashcroft
1994,Montana,Burns
1994,Nebraska,Kerrey
1994,Nevada,Bryan
1994,New Jersey,Lautenberg
1994,New Mexico,Bingaman
1994,New York,Moynihan
1994,North Dakota,Conrad
1994,Ohio,DeWine
1994,Oklahoma,Inhofe
1994,Pennsylvania,Santorum
1994,Rhode Island,Chafee
1994,Tennessee,Frist
1994,TennesseeS,Thompson
1994,Texas,Hutchison
1994,Utah,Hatch
1994,Vermont,Jeffords
1994,Virginia,Robb
1994,Washington,Gorton
1994,West Virginia,Byrd
1994,Wisconsin,Kohl
1994,Wyoming,Thomas
1996,Alabama,Sessions
1996,Arkansas,Hutchinson
1996,Colorado,Allard
1996,Delaware,Biden
1996,Georgia,Cleland
1996,Idaho,Craig
1996,Illinois,Durbin
1996,Iowa,Harkin
1996,Kansas,Roberts
1996,KansasS,Brownback
1996,Kentucky,McConnell
1996,Louisiana,Landrieu
1996,Maine,Collins
1996,Massachusetts,Kerry
1996,Michigan,Levin
1996,Minnesota,Wellstone
1996,Mississippi,Cochran
1996,Montana,Baucus
1996,Nebraska,Hagel
1996,New Hampshire,Smith
1996,New Jersey,Torricelli
1996,New Mexico,Domenici
1996,North Carolina,Helms
1996,Oklahoma,Inhofe
1996,Oregon,Smith
1996,Rhode Island,Reed
1996,South Carolina,Thurmond
1996,South Dakota,Johnson
1996,Tennessee,Thompson
1996,Texas,Gramm
1996,Virginia,Warner1
1996,West Virginia,Rockefeller
1996,Wyoming,Enzi
1998,Alabama,Shelby
1998,Alaska,Murkowski
1998,Arizona,McCain
1998,Arkansas,Lincoln
1998,California,Boxer
1998,Colorado,Campbell
1998,Connecticut,Dodd
1998,Florida,Graham
1998,Georgia,Coverdell
